Cross-run comparison  metric=MCC
  Run                                         latest/D3_bot_dist        latest/D3_firing              latest/FAB        best/D3_bot_dist          best/D3_firing           best/FAB        probe_val/D3_bot_dist     probe_val/D3_firing           probe_val/FAB
  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  
  ml128_ps8_ed192                                   0.2031                 -0.0704                  0.4444                  0.3825                  0.0556                  0.2182                  0.2031                  0.0556                  0.4444
  ml128_ps8_ed384                                   0.6179                  0.1674                  0.0546                  0.4767                  0.1690                  0.1667                  0.6179                  0.0435                  0.0546
  ml128_ps8_ed512                                   0.6179                  0.1690                  0.1231                  0.3678                  0.0435                 -0.2182                  0.4497                  0.0435                  0.0546
  
  ml128_ps4_ed192                                   0.2066                 -0.2451                 -0.1111                  0.6963                 -0.3499                  0.1111                  0.3678                 -0.2451                 -0.0546
  ml128_ps4_ed384                                   0.2066                  0.0913                  0.0546                  0.4097                  0.0913                  0.0546                  0.3419                  0.2031                  0.0546
  ml128_ps4_ed512                                   0.4767                  0.3499                 -0.0546                  0.6326                 -0.0327                  0.0000                  0.2066                  0.5230                 -0.0546
  
  ml64_ps4_ed192                                    0.2901                 -0.1806                  0.4444                  0.2901                  0.0435                  0.1667                  0.1324                 -0.3499                  0.2182
  ml64_ps4_ed384                                    0.2066                  0.2031                  0.1667                  0.1177                 -0.0435                  0.1111                  0.2879                  0.0913                  0.2887
  ml64_ps4_ed512                                    0.1195                  0.1690                  0.2887                  0.3825                 -0.0435                 -0.1667                  0.4097                  0.0913                  0.4308

  ml64_ps4_ed512_ep300_lr3e-4_we10                  0.2066                 -0.2901                  0.1231                  0.2066                 -0.4085                  0.1231                  0.4097                  0.3099                 -0.1111
  ml64_ps4_ed512_ep300_lr3e-4_we10_bs256            0.2066                  0.0704                 -0.1111                  0.4097                  0.0704                 -0.1111                  0.4097                 -0.1806                  0.1231
  ml64_ps4_ed512_ep300_lr3e-4_we7_spe1.024M         0.4097                 -0.0556                  0.2887                  0.4767                  0.1806                  0.3273                  0.2031                 -0.1690                  0.4444
  ml64_ps4_ed512_ep300_lr2.5e-4_we15                0.1177                  0.1806                  0.3273                  0.1177                  0.1806                  0.3273                  0.4767                  0.2031                  0.0546

  ml64_ps4_ed768_ep120_lr2.5e-4_we4                 0.2879                  0.2451                 -0.0680                  0.1177                  0.2031                  0.2182                  0.2879                  0.2451                  0.1231
  ml64_ps4_ed768_ep120_lr2e-4_we4                   0.4767                  0.2451                  0.1667                  0.4497                 -0.0556                 -0.1111                  0.2697                  0.0704                  0.2722
  ml64_ps4_ed768_ep120_lr1.5e-4_we4                 0.5455                  0.3499                 -0.0546                  0.2879                  0.0704                  0.2182                  0.3419                  0.0913                  0.5774
  ml64_ps4_ed768_ep120_lr1e-4_we4                   0.4767                  0.4167                 -0.1846                  0.1177                  0.0704                  0.3273                  0.4767                  0.2917                  0.0000

  ml256_ps8_ed192                                   0.2031                 -0.2031                  0.0000                  0.3678                  0.3099                  0.1111                  0.5455                 -0.0435                  0.2182
  ml256_ps8_ed384                                   0.3678                 -0.2917                 -0.0546                  0.3825                 -0.2917                 -0.0546                  0.2031                 -0.3099                  0.1667
  ml256_ps8_ed512                                   0.1177                 -0.4260                 -0.1111                  0.1177                 -0.1806                 -0.0680                  0.6326                  0.0704                  0.1111


Cross-run comparison  metric=ACC
  Run                                         latest/D3_bot_dist        latest/D3_firing              latest/FAB        best/D3_bot_dist          best/D3_firing           best/FAB   probe_val/D3_bot_dist     probe_val/D3_firing           probe_val/FAB
  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

  ml128_ps8_ed192                                   0.5882                  0.4706                  0.7333                  0.7059                  0.5294                  0.6000                  0.5882                  0.5294                  0.7333
  ml128_ps8_ed384                                   0.7647                  0.5882                  0.5333                  0.6471                  0.5882                  0.6000                  0.7647                  0.5294                  0.5333
